sentence,pattern,cmi,num_switches,language_tags
"Pehle delegate karo, phir baat karte hain",hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
yeh sunke bura laga . The break was really random,inter_sentential,0.400,1,HI HI HI HI EN EN EN EN EN EN
Yeh like karna itna mushkil nahi hai,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
Aaj ka project bahut lamba tha,hindi_matrix_english_np,0.167,2,HI HI EN HI HI HI
tension ho rahi hai . The subscription was really boring,inter_sentential,0.300,2,EN HI HI HI EN EN EN EN EN EN
Tune use like kiya kya,intraword,0.200,2,HI HI EN HI HI
meri friend yeh sunke ekdum shocked ho gaya,emotional_expression,0.125,2,HI HI HI HI HI EN HI HI
Mera sprint abhi bhi pending hai,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
tum gym jaana bilkul mushkil ho gaya hai,everyday_conversation,0.125,2,HI EN HI HI HI HI HI HI
"Yaar, this restaurant ka khana thoda good hai",everyday_conversation,0.375,4,HI EN EN HI HI HI EN HI
"theek hai , I can't believe this song itna lamba tha",emotional_expression,0.455,2,HI HI EN EN EN EN EN EN HI HI HI
Please send me the roadmap pehle,english_matrix_hindi_np,0.167,1,EN EN EN EN EN HI
Yeh send karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
"Yaar, use reply kar de na",intraword,0.167,2,HI HI EN HI HI HI
main work from home kar raha hoon abhi,everyday_conversation,0.375,2,HI EN EN EN HI HI HI HI
Mera app kaam nahi kar raha,hindi_matrix_english_np,0.167,2,HI EN HI HI HI HI
Can you review this kal ?,english_matrix_hindi_np,0.167,2,EN EN EN EN HI EN
Itna stress hai raat ko se,emotional_expression,0.167,2,HI EN HI HI HI HI
Aaj traffic kaafi bad tha,everyday_conversation,0.400,4,HI EN HI EN HI
Yeh google karna itna mushkil nahi hai,hindi_matrix_english_verb,0.143,2,HI EN HI HI HI HI HI
"The one-on-one was slow , matlab",tag_switching,0.167,1,EN EN EN EN EN HI
I was thinking we should review the movie aaj,english_matrix_hindi_np,0.111,1,EN EN EN EN EN EN EN EN HI
hum soch raha tha. The API is really terrible,inter_sentential,0.444,1,HI HI HI HI EN EN EN EN EN
Isko watch karna hai kal subah,hindi_matrix_english_verb,0.167,2,HI EN HI HI HI HI
This party is short . Mujhe nahi pasand,inter_sentential,0.375,1,EN EN EN EN EN HI HI HI
Kal 1 PM baje call hai,numerical_entity,0.500,4,HI EN EN HI EN HI
"The status was random , toh",tag_switching,0.167,1,EN EN EN EN EN HI
Could you please connect the code review parso tak chahiye,english_matrix_hindi_np,0.300,1,EN EN EN EN EN EN EN HI HI HI
"Kal flight hai, tum packing nahi ki abhi tak",everyday_conversation,0.111,2,HI EN HI HI HI HI HI HI HI
"Pehle block karo, phir baat karna",intraword,0.167,2,HI EN HI HI HI HI
main report baad mein tak bhej dunga,hindi_matrix_english_np,0.143,2,HI EN HI HI HI HI HI
"Honestly, main yeh podcast se thak gaya hoon",tag_switching,0.250,3,EN HI HI EN HI HI HI HI
Yeh update karna zaroori hai,hindi_matrix_english_verb,0.200,2,HI EN HI HI HI
Next Friday ko interview hai,numerical_entity,0.400,3,EN EN HI EN HI
Usne mujhe mute kar diya,intraword,0.200,2,HI HI EN HI HI
"Yaar, use zoom kar de na",intraword,0.167,2,HI HI EN HI HI HI
Jaldi se connect kar do,hindi_matrix_english_verb,0.200,2,HI HI EN HI HI
"yaar , let's just prioritize it pehle",tag_switching,0.286,2,HI EN EN EN EN EN HI
"bata na , main yeh ticket finish kar dunga",tag_switching,0.444,2,HI HI EN EN EN EN HI HI HI
I was thinking we should google the idea pehle,english_matrix_hindi_np,0.111,1,EN EN EN EN EN EN EN EN HI
Aaj traffic bahut zyada bad tha,everyday_conversation,0.333,4,HI EN HI HI EN HI
Usne mujhe reply kar diya,intraword,0.200,2,HI HI EN HI HI
"main online order kiya tha, delivery kal aani chahiye",everyday_conversation,0.222,4,HI EN HI HI HI EN HI HI HI
Yeh workout bilkul tough tha,everyday_conversation,0.400,4,HI EN HI EN HI
Is group ki wajah se late ho gaya,hindi_matrix_english_np,0.125,2,HI EN HI HI HI HI HI HI
Please yeh like mat karo kal,hindi_matrix_english_verb,0.167,2,HI HI EN HI HI HI
main use screenshot kar dunga,intraword,0.200,2,HI HI EN HI HI
Next Wednesday ko interview hai,numerical_entity,0.400,3,EN EN HI EN HI
