golden_id,sentence_id,pattern_id,cmi_bucket,text_roman,text_devanagari,text_mixed,language_tags
G_001,CS_00009,CS-05,low,tum gym jaana bilkul mushkil ho gaya hai,तुम gym जाना बिल्कुल मुश्किल हो गया है,तुम gym जाना बिल्कुल मुश्किल हो गया है,HI EN HI HI HI HI HI HI
G_002,CS_00014,CS-07,low,"Yaar, use reply kar de na","यार, उसे reply कर दे ना","यार, उसे reply कर दे ना",HI HI EN HI HI HI
G_003,CS_00021,CS-03,low,"The one-on-one was slow , matlab","The one-on-one was slow , मतलब","The one-on-one was slow , मतलब",EN EN EN EN EN HI
G_004,CS_00028,CS-04,mid,Could you please connect the code review parso tak chahiye,Could you please connect the code review परसो तक चाहिए,Could you please connect the code review परसो तक चाहिए,EN EN EN EN EN EN EN HI HI HI
G_005,CS_00036,CS-07,low,"Yaar, use zoom kar de na","यार, उसे zoom कर दे ना","यार, उसे zoom कर दे ना",HI HI EN HI HI HI
G_006,CS_00088,CS-01,low,Is college ke liye bilkul taiyar nahi hoon,इस college के लिए बिल्कुल तैयार नहीं हूँ,इस college के लिए बिल्कुल तैयार नहीं हूँ,HI EN HI HI HI HI HI HI
G_007,CS_00089,CS-02,low,Please yeh comment mat karo aaj,प्लीज़ यह comment मत करो आज,प्लीज़ यह comment मत करो आज,HI HI EN HI HI HI
G_008,CS_00090,CS-07,low,"Yaar, use screenshot kar de na","यार, उसे screenshot कर दे ना","यार, उसे screenshot कर दे ना",HI HI EN HI HI HI
G_009,CS_00093,CS-06,high,pull request next Friday ko 20th ko reschedule ho gaya,pull request next Friday को 20th को रिशेड्यूल हो गया,pull request next Friday को 20th को रिशेड्यूल हो गया,EN EN EN EN HI EN HI HI HI HI
G_010,CS_00128,CS-07,low,"Yaar, use upload kar de na","यार, उसे upload कर दे ना","यार, उसे upload कर दे ना",HI HI EN HI HI HI
G_011,CS_00132,CS-05,high,main khush hoon after the decision,मैं ख़ुश हूँ after the decision,मैं ख़ुश हूँ after the decision,HI HI HI EN EN EN
G_012,CS_00140,CS-02,low,main pehle call karke aata hoon,मैं पहले call करके आता हूँ,मैं पहले call करके आता हूँ,HI HI EN HI HI HI
G_013,CS_00146,CS-06,high,Friday evening ko 5 PM se 6 PM wala slot available hai,Friday evening को 5 PM से 6 PM वाला स्लॉट अवेलेबल है,Friday evening को 5 PM से 6 PM वाला स्लॉट अवेलेबल है,EN EN HI EN EN HI EN EN HI HI HI HI
G_014,CS_00158,CS-05,high,pagal ho jaaunga after the delivery,पागल हो जाऊँगा after the delivery,पागल हो जाऊँगा after the delivery,HI HI HI EN EN EN
G_015,CS_00184,CS-02,low,Yeh order karna itna mushkil nahi hai,यह order करना इतना मुश्किल नहीं है,यह order करना इतना मुश्किल नहीं है,HI EN HI HI HI HI HI
G_016,CS_00202,CS-04,mid,I finished the update . ekdum acha laga,I finished the update . एकदम अच्छा लगा,I finished the update . एकदम अच्छा लगा,EN EN EN EN EN HI HI HI
G_017,CS_00204,CS-07,low,Ab main use scroll kar lunga,अब मैं उसे scroll कर लूँगा,अब मैं उसे scroll कर लूँगा,HI HI HI EN HI HI
G_018,CS_00224,CS-01,mid,Tera status thoda viral ho gaya,तेरा status थोड़ा viral हो गया,तेरा status थोड़ा viral हो गया,HI EN HI EN HI HI
G_019,CS_00233,CS-07,low,Tune use screenshot kiya kya,तूने उसे screenshot किया क्या,तूने उसे screenshot किया क्या,HI HI EN HI HI
G_020,CS_00253,CS-06,high,Google Meet pe 12 PM par milte hain,Google Meet पे 12 PM पर मिलते हैं,Google Meet पे 12 PM पर मिलते हैं,EN EN HI EN EN HI HI HI
G_021,CS_00260,CS-02,low,Isko fix karna hai subah subah,इसको fix करना है सुबह सुबह,इसको fix करना है सुबह सुबह,HI EN HI HI HI HI
G_022,CS_00269,CS-04,mid,Could you please subscribe the client call aaj tak chahiye,Could you please subscribe the client call आज तक चाहिए,Could you please subscribe the client call आज तक चाहिए,EN EN EN EN EN EN EN HI HI HI
G_023,CS_00281,CS-05,mid,"bata na , I can't believe this movie itna lamba tha","बता ना , I can't believe this movie इतना लंबा था","बता ना , I can't believe this movie इतना लंबा था",HI HI EN EN EN EN EN EN HI HI HI
G_024,CS_00309,CS-03,high,"acha , main yeh password finish kar dunga","अच्छा , main yeh password फ़िनिश कर दूँगा","अच्छा , main yeh password फ़िनिश कर दूँगा",HI EN EN EN EN HI HI HI
G_025,CS_00311,CS-07,low,Ab main use save kar lunga,अब मैं उसे save कर लूँगा,अब मैं उसे save कर लूँगा,HI HI HI EN HI HI
G_026,CS_00332,CS-04,mid,Samajh nahi aa raha. The charger keeps giving errors,समझ नहीं आ रहा. The charger keeps giving errors,समझ नहीं आ रहा. The charger keeps giving errors,HI HI HI HI EN EN EN EN EN
G_027,CS_00350,CS-01,mid,Kal ka client call parso hai,कल का client call परसो है,कल का client call परसो है,HI HI EN EN HI HI
G_028,CS_00353,CS-03,high,"dekho , main yeh routine finish kar dunga","देखो , main yeh routine फ़िनिश कर दूँगा","देखो , main yeh routine फ़िनिश कर दूँगा",HI EN EN EN EN HI HI HI
G_029,CS_00354,CS-07,low,Tune mujhe zoom kiya kya,तूने मुझे zoom किया क्या,तूने मुझे zoom किया क्या,HI HI EN HI HI
G_030,CS_00367,CS-07,low,Kya tune use zoom kar diya,क्या तूने उसे zoom कर दिया,क्या तूने उसे zoom कर दिया,HI HI HI EN HI HI
G_031,CS_00397,CS-04,mid,I have a class baad mein . hum ready hoon,I have a class बाद में . हम ready हूँ,I have a class बाद में . हम ready हूँ,EN EN EN EN HI HI EN HI EN HI
G_032,CS_00399,CS-05,high,thak gaya hoon after the lunch,थक गया हूँ after the lunch,थक गया हूँ after the lunch,HI HI HI EN EN EN
G_033,CS_00402,CS-05,high,main khush hoon after the plan,मैं ख़ुश हूँ after the plan,मैं ख़ुश हूँ after the plan,HI HI HI EN EN EN
G_034,CS_00407,CS-03,high,"toh , main yeh stream finish kar dunga","तो , main yeh stream फ़िनिश कर दूँगा","तो , main yeh stream फ़िनिश कर दूँगा",HI EN EN EN EN HI HI HI
G_035,CS_00438,CS-03,high,"acha , main yeh episode finish kar dunga","अच्छा , main yeh episode फ़िनिश कर दूँगा","अच्छा , main yeh episode फ़िनिश कर दूँगा",HI EN EN EN EN HI HI HI
G_036,CS_00454,CS-06,mid,main Gmail pe 2:30 PM available hoon,मैं Gmail पे 2:30 PM अवेलेबल हूँ,मैं Gmail पे 2:30 PM अवेलेबल हूँ,HI EN HI EN EN HI HI
G_037,CS_00464,CS-05,mid,"theek hai , I can't believe this problem itna lamba tha","ठीक है , I can't believe this problem इतना लंबा था","ठीक है , I can't believe this problem इतना लंबा था",HI HI EN EN EN EN EN EN HI HI HI
G_038,CS_00481,CS-07,low,Usne mujhe record kar diya,उसने मुझे record कर दिया,उसने मुझे record कर दिया,HI HI EN HI HI
G_039,CS_00487,CS-03,high,"ek kaam karo , let's just share it baad mein","एक काम करो , let's just share it बाद में","एक काम करो , let's just share it बाद में",HI HI HI EN EN EN EN EN HI HI
G_040,CS_00511,CS-02,low,Yeh download karna itna mushkil nahi hai,यह download करना इतना मुश्किल नहीं है,यह download करना इतना मुश्किल नहीं है,HI EN HI HI HI HI HI
G_041,CS_00528,CS-02,low,Please yeh order mat karo parso,प्लीज़ यह order मत करो परसो,प्लीज़ यह order मत करो परसो,HI HI EN HI HI HI
G_042,CS_00535,CS-02,low,Kya tum handle kar sakte ho,क्या तुम handle कर सकते हो,क्या तुम handle कर सकते हो,HI HI EN HI HI HI
G_043,CS_00580,CS-07,low,"Pehle repost karo, phir baat karna","पहले repost करो, फिर बात करना","पहले repost करो, फिर बात करना",HI EN HI HI HI HI
G_044,CS_00583,CS-04,low,Please send me the team standup parso,Please send me the team standup परसो,Please send me the team standup परसो,EN EN EN EN EN EN HI
G_045,CS_00588,CS-06,low,"Aaj 30th tarikh hai, kal deadline hai","आज 30th तारीख़ है, कल डेडलाइन है","आज 30th तारीख़ है, कल डेडलाइन है",HI EN HI HI HI HI HI
G_046,CS_00591,CS-01,low,Is wifi mein problem aa rahi hai,इस wifi में प्रॉब्लम आ रही है,इस wifi में प्रॉब्लम आ रही है,HI EN HI HI HI HI HI
G_047,CS_00598,CS-04,low,Let's discuss this jaldi se after the proposal,Let's discuss this जल्दी से after the proposal,Let's discuss this जल्दी से after the proposal,EN EN EN HI HI EN EN EN
G_048,CS_00637,CS-03,mid,"ek kaam karo , let's just google it abhi","एक काम करो , let's just google it अभी","एक काम करो , let's just google it अभी",HI HI HI EN EN EN EN EN HI
G_049,CS_00638,CS-05,high,pagal ho jaaunga . I didn't expect the order itna achha hoga,पागल हो जाऊँगा . I didn't expect the order इतना अच्छा होगा,पागल हो जाऊँगा . I didn't expect the order इतना अच्छा होगा,HI HI HI EN EN EN EN EN EN HI HI HI
G_050,CS_00640,CS-07,low,"Pehle save karo, phir baat karna","पहले save करो, फिर बात करना","पहले save करो, फिर बात करना",HI EN HI HI HI HI
G_051,CS_00654,CS-01,low,main client call pe kaam kar raha hoon,मैं client call पे काम कर रहा हूँ,मैं client call पे काम कर रहा हूँ,HI EN EN HI HI HI HI HI
G_052,CS_00657,CS-05,high,pagal ho jaaunga . I didn't expect the gym itna achha hoga,पागल हो जाऊँगा . I didn't expect the gym इतना अच्छा होगा,पागल हो जाऊँगा . I didn't expect the gym इतना अच्छा होगा,HI HI HI EN EN EN EN EN EN HI HI HI
G_053,CS_00690,CS-06,low,Is next Friday ko chhutti hai kya,इस next Friday को छुट्टी है क्या,इस next Friday को छुट्टी है क्या,HI EN EN HI HI HI HI
G_054,CS_00712,CS-07,low,Kya tune use upload kar diya,क्या तूने उसे upload कर दिया,क्या तूने उसे upload कर दिया,HI HI HI EN HI HI
G_055,CS_00731,CS-04,low,"The code review is due aaj , please check","The code review is due आज , please check","The code review is due आज , please check",EN EN EN EN EN HI EN EN EN
G_056,CS_00781,CS-05,mid,Mera laptop slow ho gaya hai,मेरा laptop slow हो गया है,मेरा laptop slow हो गया है,HI EN EN HI HI HI
G_057,CS_00791,CS-05,mid,"main zoom call pe tha, connection baar baar jaata tha","मैं zoom call पे था, connection बार बार जाता था","मैं zoom call पे था, connection बार बार जाता था",HI EN EN HI HI EN HI HI HI HI
